"Source:","C:\Files\repos\AkaiFireSequencer\AkaiFireSequener\AkaiFireSequener.kicad_sch"
"Date:","4/15/2023 2:14:22 PM"
"Tool:","Eeschema (6.0.10)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","24"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"C1, C2, ","2","0.1uF","C","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","Unpolarized capacitor",""
"D1, D2, ","2","1N4148","1N4148","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","100V 0.15A standard switching diode, DO-35",""
"H1, H2, H3, H4, ","4","MountingHole_Pad","MountingHole_Pad","MountingHole:MountingHole_3.2mm_M3_Pad","Mounting Hole with connection",""
"J1, ","1","USB_A","USB_A","Connector_USB:USB_A_Stewart_SS-52100-001_Horizontal","USB Type A connector",""
"J2, J3, J4, J5, ","4","DIN-5_180degree","DIN-5_180degree","Eurocad:MIDI_DIN5","5-pin DIN connector (5-pin DIN-5 stereo)",""
"R1, R2, R3, R4, ","4","47","R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical","Resistor",""
"R5, R6, ","2","220","R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical","Resistor",""
"R7, R8, ","2","470","R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical","Resistor",""
"U1, ","1","Teensy4.1","Teensy4.1","Teensy Models:Teensy41","",""
"U2, U3, ","2","6N138","6N138","Package_DIP:DIP-8_W7.62mm_Socket","Low Input Current high Gain Split Darlington Optocouplers, -0.5V to 7V VDD, DIP-8",""
